career_name,career_description,career_salary_range,language_requirements,job_duties,future,post_secondary_degree,advanced_post_secondary_degree,post_secondary_fee_range,advanced_post_secondary_fee_range,certifications,grade_11_12_subjects,references,tags
Records Digitizing Technician,"A Records Digitizing Technician is a specialized professional responsible for converting physical documents and records into digital formats. They play a crucial role in modernizing information management systems across various industries. These technicians operate and maintain sophisticated scanning equipment and software to capture, process, and store digital versions of paper documents, microfilm, and other analog media. The job involves more than just scanning documents. Records Digitizing Technicians must ensure the accuracy and quality of digitized information, implement and maintain classification systems, and adhere to strict data security protocols. They often work with sensitive or confidential information, requiring a high level of discretion and attention to detail.","$35,000 to $65,000 per year",English Essential and French Asset,"• Operate scanning equipment to digitize various types of documents
• Perform quality control checks on digitized files
• Classify and index digital records according to established systems
• Maintain and troubleshoot digitization equipment
• Implement data security and confidentiality measures
• Collaborate with IT teams on digital storage and retrieval systems
• Assist in developing and updating records management policies
• Prepare reports on digitization activities and progress","The future prospects for Records Digitizing Technicians in Canada are promising, driven by the ongoing digital transformation across industries. According to Statistics Canada, the broader category of ""Records management technicians"" (NOC 12112) is expected to see steady growth in the coming years. The increasing adoption of digital technologies and the need for efficient information management are key factors contributing to the demand for these professionals. Organizations across public and private sectors are recognizing the benefits of digitizing their records, including improved accessibility, reduced storage costs, and enhanced data analysis capabilities. The COVID-19 pandemic has accelerated the shift towards digital operations, further emphasizing the importance of digitized records. This trend is likely to continue, creating more opportunities for Records Digitizing Technicians.","Bachelor's Degree in Information Management, Library and Information Science, Computer Science, Digital Media, Business Administration or Information Systems (Nice to have)","Master's Degree in Information Management, Library and Information Science, Digital Humanities, Data Science and Information Systems Management (Nice to have)","$24,000 - $120,000","$15,000 - $55,000",None,"Computer Science, Information Technology, English, Mathematics, Business Studies and Data Management","https://www.jobbank.gc.ca/marketreport/summary-occupation/26664/ca
https://www.jobbank.gc.ca/marketreport/summary-occupation/25627/QC
https://noc.esdc.gc.ca/CareerHandbook/ChProfile?objectid=FJ9LgKmzV2JsKd3pN6yaL50AGIrdoPsZl7Fk3M2WjwA%3D
https://www.workbc.ca/career-profiles/records-management-technicians
https://www.gov.nl.ca/labourmarketinformation/career/records-management-technicians/","Records Management, Digital Transformation, Information Technology, Data Security, Document Imaging, Metadata, Information Governance, Electronic Records Management, Digital Preservation and Data Classification"
Automotive Parts Clerk - Retail,"An Automotive Parts Clerk - Retail is a specialized professional who plays a crucial role in the automotive industry. This career combines technical knowledge of automotive parts with customer service and inventory management skills. Automotive Parts Clerks work in various settings, including auto parts stores, dealerships, and repair shops, where they serve as the primary point of contact for customers seeking specific vehicle components.","$30,000 to $60,000 per year",English Essential and French Asset,"• Assist customers in identifying and selecting appropriate automotive parts
• Manage inventory and stock levels
• Process sales transactions and handle cash registers
• Order new parts and restock shelves
• Use computer systems for parts lookup and inventory management
• Collaborate with mechanics and service staff
• Handle warranty part returns and process supplier invoices
• Maintain a clean and organized parts department
• Provide technical advice on automotive parts and systems
• Ensure accurate billing and documentation","The future prospects for Automotive Parts Clerks in Canada appear to be stable with moderate growth potential. According to the Job Bank of Canada, the outlook for Storekeepers and Partspersons (which includes Auto Parts Clerks) is generally fair across most provinces and territories. The automotive industry is undergoing significant changes with the rise of electric vehicles and advanced driver assistance systems. This transition is likely to create new opportunities for Auto Parts Clerks who stay updated with these technologies. As vehicles become more complex, there may be an increased demand for knowledgeable professionals who can guide customers through selecting the right parts for modern vehicles.","Bachelor's Degree in Automotive Engineering, Mechanical Engineering, Business Administration or Supply Chain Management (Minimum)","Master's Degree in Automotive Engineering, Supply Chain Management, Business Administration and Retail Management (Nice to have)","$80,000 - $160,000","$50,000 - $100,000",None,"Mathematics, Physics, Computer Science, Business Studies, Automotive Technology and English","https://www.jobbank.gc.ca/marketreport/occupation/19318/ca%3Bjsessionid=ADB429FF557CC0E300B41DF9C13B6C51.jobsearch77
https://www.autotrainingcentre.com/blog/a-day-in-the-life-of-a-warehousing-clerk-after-following-auto-parts-training/
https://hiringpeople.io/en-US/job-descriptions/sales/auto-parts-clerk
https://www.ziprecruiter.com/career/Automotive-Parts-Clerk/What-Is-How-to-Become
https://www.livecareer.com/resume-examples/auto-parts-clerk
https://www.cati.ca/4-skills-youll-need-to-begin-a-parts-clerk-career-after-service-advisor-training/
https://ca.indeed.com/q-parts-clerk-jobs.html?vjk=8e2d4adfef27478","Automotive Parts, Inventory Management, Customer Service, Vehicle Systems, Parts Catalog, Automotive Technology, Retail Sales, Supply Chain, Automotive Aftermarket and Technical Support"
Aviation Partsperson,"An Aviation Partsperson is responsible for managing and distributing parts and supplies for aircraft maintenance and repair. This role involves identifying, cataloging, and issuing parts, maintaining inventory records, and ensuring the availability of necessary components for aircraft operations. Aviation Partspersons work closely with aircraft mechanics and engineers to support the maintenance and repair of aircraft, ensuring that all parts meet safety and quality standards. They may work in various settings, including airports, aircraft maintenance facilities, and aviation manufacturing companies.","$35,000 to $65,000 per year",English Essential and French Asset,"• Identify, label, and catalog items received
• Issue and distribute parts and supplies for internal use
• Maintain records on inventory, parts issued, and received
• Advise on the appropriateness of parts for specific aircraft systems
• Ensure parts meet safety and quality standards
• Coordinate with suppliers and vendors for part procurement
• Perform regular inventory audits","The future prospects for Aviation Partspersons in Canada are promising due to the steady growth of the aviation industry. According to Statistics Canada, the aviation sector is expected to see continued demand for skilled workers, including partspersons, due to the ongoing need for aircraft maintenance and the expansion of airline fleets. The retirement of older workers will also create opportunities for new entrants. The demand for aviation services, including maintenance and repair, is projected to grow, driven by increased air travel and the need for efficient and safe aircraft operations. This growth will likely result in stable employment opportunities and potential for career advancement within the industry.","Bachelor’s Degree in Aviation Management, Logistics or Supply Chain Management (Minimum)","Master's Degree in Aviation Management, Business Administration or Logistics (Nice to have)","$24,000 - $80,000","$20,000 - $60,000",None,"Mathematics, English, Physics, Business Studies and Information Technology","https://tc.canada.ca/en/campaigns/national-aviation-day-february-23/careers-aviation
https://www.jobbank.gc.ca/essentialskillsresults/81
https://www.talentify.io/job/aviation-partsperson-winnipeg-manitoba-government-of-canada-39837186","Aviation Parts, Inventory Management, Aircraft Maintenance, Supply Chain, Logistics, Aviation Safety, Parts Distribution, Aviation Industry, Aircraft Components and Maintenance Support"
Industrial Warehouse Person,"An Industrial Warehouse Person, also known as a Storekeeper or Partsperson, plays a crucial role in managing inventory and supplies within various industries. These professionals are responsible for sorting, storing, and issuing parts and supplies for use within their organization or for sale to the public. They work in diverse settings, including manufacturing companies, warehouses, retail and wholesale establishments, mining, forestry, and construction companies, repair shops, and hospitals.","$35,000 to $65,000 per year",English Essential and French Asset,"• Receive and sort incoming parts and supplies
• Store items in an orderly and accessible manner
• Prepare and complete orders for delivery or pickup
• Perform inventory controls and maintain quality standards
• Operate and maintain warehouse vehicles and equipment
• Keep a clean and safe working environment
• Complete diary logs into inventory
• Report any discrepancies","The future prospects for Industrial Warehouse persons in Canada appear to be limited according to the Job Bank of Canada. However, this assessment should be considered in the context of broader industry trends and technological advancements. The warehouse and logistics sector is undergoing significant transformation due to the growth of e-commerce and the adoption of automation technologies. While this may limit traditional warehouse roles, it's also creating new opportunities for workers with updated skills. Statistics Canada doesn't provide specific data for Industrial Warehouse Persons but the broader category of ""Transport and logistics occupations"" is projected to have balanced labor market conditions over the period 2022-2031.","Bachelor’s Degree in Supply Chain Management, Business Administration, Logistics or Operations Management (Nice to have)","Master's Degree in Supply Chain Management, Logistics, Business Administration or Operations Management (Nice to have)","$20,000 - $120,000","$14,000 - $80,000",None,"English, Mathematics, Computer Science, Business Studies and Physics","https://www.jobbank.gc.ca/marketreport/summary-occupation/19351/ca
https://www.jobbank.gc.ca/marketreport/summary-occupation/19351/ON
https://www.jobbank.gc.ca/marketreport/summary-occupation/19351/geo25349
https://www.jobbank.gc.ca/marketreport/summary-occupation/19351/BC%3Bjsessionid=9D8DB2BEBED063EEBD1EEBBB846E8F75.jobsearch75
https://ca.indeed.com/hire/job-description/warehouse-worker
https://resources.workable.com/warehouse-worker-job-description
https://www.randstad.ca/job-seeker/job-profiles/warehouse-associate/","Inventory Management, Logistics, Supply Chain, Warehousing, Material Handling, Stock Control, Order Fulfillment, Forklift Operation, Inventory Software and Warehouse Safety"
Medical Supply Clerk,"A Medical Supply Clerk plays a crucial role in healthcare facilities by managing and distributing medical supplies and equipment. They are responsible for processing incoming requisitions, issuing supplies for internal usage, and maintaining accurate inventory records. These professionals work in various healthcare settings, including hospitals, clinics, and long-term care facilities. Medical Supply Clerks are essential in ensuring that healthcare providers have the necessary supplies to deliver quality patient care.","$31,200 to $62,400 per year",English Essential and French Asset,"• Process incoming requisitions for medical supplies
• Issue and distribute supplies for internal usage
• Maintain accurate records of orders, inventory, and supply locations
• Coordinate with vendors and suppliers
• Ensure proper storage and handling of medical supplies
• Generate reports on inventory levels and usage patterns
• Assist in maintaining cleanliness and organization of storage areas
• Participate in inventory counts and audits","The career prospects for Medical Supply Clerks in Canada are generally positive with a steady demand expected in the coming years. According to the Labour Market Information from Job Bank Canada, the occupation group that includes Medical Supply Clerks is projected to have a below-average annual growth rate of 1.8% from 2021 to 2025 in Alberta. This translates to approximately 132 new positions being created each year within this occupational group. The healthcare sector in Canada is experiencing ongoing growth and transformation, driven by factors such as an aging population, technological advancements, and increasing focus on efficient healthcare delivery. This growth is likely to sustain the demand for skilled Medical Supply Clerks who can effectively manage the complex supply chains in healthcare facilities.","Bachelor’s Degree in Health Administration, Healthcare Management, Commerce or Supply Chain Management (Nice to have)","Master's Degree in Health Administration, Healthcare Operations Management or Business Administration (Nice to have)","$20,000 - $60,000","$30,000 to $100,000",None,"Mathematics, Biology, Chemistry, Business Studies, Computer Science and English","https://www.jobbank.gc.ca/marketreport/summary-occupation/19316/ca
https://www.jobbank.gc.ca/marketreport/summary-occupation/19316/ON
https://www.jobbank.gc.ca/marketreport/summary-occupation/19316/AB%3Bjsessionid=CC34A01E6E04106EF8E6E58DC50AB009.jobsearch77
https://ca.indeed.com/career-advice/finding-a-job/what-does-unit-clerk-do
https://alis.alberta.ca/occinfo/occupations-in-alberta/occupation-profiles/unit-clerk/
https://www.randstad.ca/job-seeker/job-profiles/supply-clerk/","Healthcare Administration, Medical Supplies, Inventory Management, Supply Chain, Healthcare Operations, Medical Terminology, Electronic Health Records, Healthcare Technology, Logistics and Patient Care Support"
Parts Technician,"A Parts Technician is responsible for managing and dispensing parts inventories, which includes stock handling, identifying and cataloguing parts and assemblies, ordering, receiving, inspecting, sorting, pricing, and selling parts. They work with parts from various manufacturers, including automotive, heavy-duty, farm implement, industrial, recreational vehicle, plumbing, electrical, and other types of equipment. Parts Technicians are employed in wholesale and retail businesses, warehouse distributors, and various industries such as agriculture, forestry, health, manufacturing, mining, oil and gas, and transportation. Their duties can vary significantly depending on the size and type of business they work for, ranging from specialized automotive parts to a broad range of machinery and hardware supplies.","$35,000 to $65,000 per year",English Essential and French Asset,"• Receive and sort incoming parts and supplies
• Store items in an orderly and accessible manner
• Process incoming requisitions and distribute parts and supplies
• Maintain records of orders and inventory
• Prepare requisition orders to replenish parts and supplies
• Sell spare and replacement parts
• Advise customers on the appropriateness of parts and supplies","The future prospects for Parts Technicians in Canada are influenced by various factors, including technological advancements and economic conditions. According to the Alberta Occupational Outlook, the employment growth for parts technicians is expected to be modest, with an average annual growth of 2.1% to 2.4% from 2021 to 2025. This growth is driven by turnover and new job openings, with approximately 69 to 310 new positions forecasted annually in related occupational groups. The demand for Parts Technicians is expected to remain stable due to the ongoing need for maintenance and repair of machinery and equipment across various industries. Additionally, advancements in inventory management systems and automation may influence the nature of the job, requiring technicians to adapt to new technologies and processes.","Bachelor's Degree in Business Administration, Logistics or Industrial Engineering (Nice to have)",Master's Degree in Supply Chain Management or Business Administration (Nice to have),"$24,000 - $80,000","$20,000 - $60,000","Apprenticeship and Industry Training (AIT) Certification (Alberta), Red Seal Certification (British Columbia), Ontario College of Trades Certification (Ontario) and Emploi-Québec Certification (Québec)","Mathematics, English, Business Studies, Information Technology and Industrial Arts","https://www.jobbank.gc.ca/marketreport/summary-occupation/19326/ca
https://www.jobbank.gc.ca/marketreport/summary-occupation/19326/ON
https://alis.alberta.ca/occinfo/occupations-in-alberta/occupation-profiles/parts-technician/
https://skilledtradesbc.ca/parts-technician-red-seal
https://ca.indeed.com/career-advice/finding-a-job/what-does-parts-technician-do","Parts Technician, Inventory Management, Supply Chain, Warehouse Operations, Automotive Parts, Industrial Equipment, Retail, Wholesale and Logistics"
Ship Keeper,"A Ship Keeper, also known as a Ship's Keeper or Vessel Keeper, is responsible for maintaining and safeguarding ships or vessels while they are docked or in port. This role is crucial in the maritime industry, ensuring that vessels remain in good condition and are ready for their next voyage. Ship Keepers typically work on a variety of vessels, including cargo ships, cruise liners, and military vessels. The primary responsibilities of a Ship Keeper include conducting regular inspections of the vessel, performing minor repairs and maintenance tasks, monitoring security systems, and ensuring compliance with safety regulations. They also coordinate with port authorities, manage inventory of supplies and equipment, and maintain accurate logs and records of their activities.","$41,600 to $87,360 per year",English Essential and French Asset,"• Conduct regular inspections of vessels
• Perform minor repairs and maintenance tasks
• Monitor security systems and ensure vessel safety
• Coordinate with port authorities and other maritime personnel
• Manage inventory of supplies and equipment
• Maintain accurate logs and records
• Respond to emergencies and implement safety protocols","The future prospects for Ship Keepers in Canada appear to be stable, with potential for growth in certain sectors. The maritime industry plays a significant role in Canada's economy, given its extensive coastline and numerous ports. According to Transport Canada, the marine transportation sector contributes approximately $3.7 billion annually to Canada's GDP and supports over 99,000 jobs. While specific data on Ship Keepers is limited, the broader category of water transport occupations is expected to see moderate growth. Statistics Canada projects a balanced labor market for water transport occupations through 2028, with job openings and job seekers expected to be relatively equal.","Bachelor's Degree in Marine Engineering, Nautical Science, Maritime Studies or Naval Architecture (Nice to have)","Master's Degree in Maritime Management, Marine Technology or Coastal and Marine Engineering (Nice to have)","$80,000 - $160,000","$30,000 to $70,000","Red Seal Endorsement (Ontario), Certificat restreint d'opérateur – Maritime (CRO-M) (Québec), Marine Engine Operator (MEO) Certificate (British Columbia), Small Vessel Operator Proficiency (SVOP) (Alberta) and Fishing Master Certificate (Nova Scotia)","Mathematics, Physics, Chemistry, English and Technical Drawing/Industrial Arts","https://www.jobbank.gc.ca/marketreport/summary-occupation/19344/ON
https://www.jobbank.gc.ca/marketreport/summary-occupation/19344/BC
https://www.jobbank.gc.ca/marketreport/summary-occupation/19344/geo27235
https://tc.canada.ca/en/marine-transportation/seafarer-certification
https://ca.talent.com/salary?job=keeper
https://ca.indeed.com/career/shipping-and-receiving-clerk/salaries
https://ca.jooble.org/salary/ship-keeper","Maritime Industry, Vessel Maintenance, Marine Safety, Port Operations, Nautical Skills, Ship Security, Marine Engineering, Coastal Management, Maritime Regulations and Shipboard Operations"
Supply Centre Clerk,"A Supply Centre Clerk, also known as a Purchasing and Inventory Clerk, plays a crucial role in managing the flow of materials, equipment, and stock within an organization. This career involves processing purchasing transactions, maintaining inventories, and ensuring the smooth operation of supply chains. Supply Centre Clerks are responsible for reviewing requisition orders, sourcing price quotations, preparing purchase orders, and processing purchases within their authority. They also monitor inventory levels, compile inventory reports, and maintain stock rotation. These professionals use both manual and computerized inventory systems to track and manage supplies efficiently.","$31,200 to $65,000 per year",English Essential and French Asset,"• Review and process requisition orders
• Source price quotations and prepare purchase orders
• Monitor inventory levels and compile inventory reports
• Maintain stock rotation and dispose of outdated stock
• Enter data for production scheduling and inventory adjustments
• Reconcile physical inventories with computer counts
• Contact suppliers to resolve issues and schedule deliveries
• Prepare and maintain purchasing files, reports, and price lists","The future prospects for Supply Centre Clerks in Canada are generally positive, with a stable outlook for employment opportunities. According to Job Bank Canada, the job outlook for this occupation is fair, with a balanced labor market expected in most provinces and territories. The increasing adoption of advanced inventory management systems and automation technologies may impact the nature of work for Supply Centre Clerks. However, the need for human oversight and decision-making in supply chain management is likely to persist. As businesses continue to focus on efficient inventory control and cost management, the role of Supply Centre Clerks may evolve to include more analytical and strategic responsibilities.","Bachelor's Degree in Business Administration, Supply Chain Management, Operations Management, Logistics and Distribution (Nice to have)","Master's Degree in Business Administration, Supply Chain Management or Logistics (Nice to have)","$24,000 - $120,000","$40,000 - $120,000",None,"Mathematics, Business Studies, Economics, Computer Science, English and Accounting","https://www.jobbank.gc.ca/marketreport/summary-occupation/19306/ca
https://noc.esdc.gc.ca/Structure/NocProfile?objectid=q1W%2FPHMuQe5zxjlZW%2FuFuTsXGrRJ6RZADIVqoml%2B8W4%3D
https://ca.indeed.com/career-advice/finding-a-job/what-does-purchasing-clerk-do
https://ca.indeed.com/hire/job-description/clerk","Supply Chain Management, Inventory Control, Procurement, Purchasing Clerk, Logistics Management, Supply Planning, Warehouse Operations, Inventory Analysis, Business Administration, Data Entry and Supply Chain Technology"
Warehouse Clerk - Parts and Equipment,"Warehouse Clerk - Parts and Equipment, also known as Storekeepers and Partspersons, play a crucial role in managing inventory and supplying parts and equipment in various industries. These professionals are responsible for receiving, sorting, storing, and distributing parts and supplies within organizations or to customers. Warehouse Clerks work in diverse settings, including manufacturing companies, warehouses, retail and wholesale establishments, mining, forestry and construction companies, repair shops, and hospitals. Their primary focus is on maintaining an organized and efficient inventory system, ensuring that parts and supplies are readily available when needed.","$31,200 to $80,000 per year",English Essential and French Asset,"• Receive and sort incoming parts and supplies
• Store items in an organized manner in warehouses or storage areas
• Process incoming requisitions and distribute parts and supplies
• Maintain inventory records using manual or computerized systems
• Prepare orders to replenish stock
• Sell spare and replacement parts in retail settings
• Advise customers on appropriate parts and materials
• Operate equipment such as forklifts for material handling
• Perform deliveries of parts to customers","The future prospects for Warehouse Clerks - Parts and Equipment in Canada appear stable with potential for growth. According to the Job Bank of Canada, the outlook for this occupation varies by region, with some areas showing fair to good job prospects. The increasing complexity of machinery and equipment across industries is likely to drive demand for skilled parts personnel. As technology advances, the need for specialized knowledge in various parts and equipment categories may increase, offering opportunities for career growth and specialization.","Bachelor's Degree in Commerce, Supply Chain Management, Business Administration, Operations Management or Industrial Engineering (Nice to have)","Master's Degree in Industrial Engineering, Supply Chain Management, Business Administration or Operations Management (Nice to have)","$80,000 - $160,000","$50,000 - $100,000",None,"English, Mathematics, Physics, Computer Science, Business Studies and Technical Education","https://www.jobbank.gc.ca/marketreport/summary-occupation/19341/ca%3Bjsessionid=D127A5DDE1D71132F3A793D7386B851D.jobsearch76
https://www.workbc.ca/career-profiles/storekeepers-and-partspersons
https://ca.indeed.com/q-warehouse-clerk-parts-equipment-jobs.html?vjk=1097832c6b0ef684
https://ca.indeed.com/career-advice/finding-a-job/how-to-get-automotive-warehouse-job
https://www.randstad.ca/job-seeker/job-profiles/supply-clerk/
https://www.bcjobs.ca/jobs/parts-warehouse-clerk-17-20-per-hour-whistler-1360749","Inventory Management, Parts Distribution, Supply Chain, Logistics, Warehouse Operations, Stock Control, Customer Service, Automotive Parts, Industrial Equipment, Inventory Software, Material Handling, Order Fulfillment, Procurement, Retail Operations and Technical Knowledge"
Wine Cellar Attendant,"A Wine Cellar Attendant, also known as a Storekeeper or Partsperson, plays a crucial role in managing and maintaining wine cellars in various establishments. This career involves sorting, storing, and issuing wine and related supplies, as well as maintaining accurate inventory records. Wine Cellar Attendants typically work in retail establishments, warehouses, and hospitality settings, ensuring the proper storage and handling of wine collections. The job requires attention to detail, organizational skills, and knowledge of wine storage practices. Wine Cellar Attendants are responsible for receiving and organizing incoming wine shipments, monitoring temperature and humidity levels in the cellar, and assisting customers or internal users with wine selection. They may also be involved in processing orders, preparing requisitions, and maintaining the overall cleanliness and organization of the cellar.","$37,440 to $72,779 per year",English Essential and French Asset,"• Receive and sort incoming wine shipments
• Store wines in an orderly and accessible manner
• Maintain accurate inventory records
• Process incoming requisitions and distribute wines
• Monitor cellar temperature and humidity levels
• Assist customers or internal users with wine selection
• Prepare requisition orders to replenish stock
• Ensure proper handling and storage of wines
• Maintain cleanliness and organization of the cellar","The future prospects for Wine Cellar Attendants in Canada appear to be stable. According to the Canadian Occupational Projections System, the broader category of Storekeepers and Partspersons is expected to maintain a balance between labour demand and supply over the 2022-2031 period. The projection indicates that there will be approximately 22,700 new job openings and 19,700 new job seekers during this period, suggesting a relatively balanced job market. The wine industry in Canada has been growing, with an increasing number of wineries and a growing interest in wine culture. This trend may contribute to continued demand for skilled Wine Cellar Attendants. However, it's important to note that the job market can be competitive, and opportunities may vary by region and specific sector of the wine industry.","Bachelor's Degree in Oenology, Viticulture, Food Science or Hospitality Management (Nice to have)","Master's Degree in Oenology, Viticulture or Wine Business (Nice to have)","$24,000 - $120,000","$32,000 - $160,000",None,"Chemistry, Biology, Mathematics, Business Studies and Food/Nutrition","https://www.jobbank.gc.ca/marketreport/summary-occupation/19342/ca
https://www.jobbank.gc.ca/marketreport/summary-occupation/19342/ON
https://www.jobbank.gc.ca/marketreport/summary-occupation/19342/AB%3Bjsessionid=7A3AE8718858649529BE1EA87D188F1C.jobsearch77
https://ca.indeed.com/q-wine-cellar-jobs.html?vjk=1476dea508f770d0
https://www.winejobscanada.com/career-options/","Wine Storage, Inventory Management, Cellar Operations, Wine Knowledge, Customer Service, Hospitality, Logistics, Quality Control, Temperature Regulation and Wine Preservation"
Braille Data Entry Clerk,"A Braille Data Entry Clerk is a specialized professional who combines the skills of a traditional data entry clerk with expertise in Braille transcription. This unique role involves converting printed or digital text into Braille format, ensuring that visually impaired individuals have access to a wide range of written materials. Braille Data Entry Clerks use specialized software and equipment to input text and translate it into Braille code. They must have an excellent understanding of Braille conventions, including contractions and formatting rules specific to different types of documents. These professionals work with various materials, including books, educational resources, government documents, and personal correspondence.","$31,200 to $54,600 per year",English Essential and French Asset,"• Transcribe printed or digital text into Braille format using specialized software
• Proofread and edit Braille transcriptions for accuracy
• Maintain databases of Braille documents
• Operate data entry devices and Braille embossers
• Coordinate with clients to ensure transcribed materials meet specific requirements
• Verify data accuracy and completeness
• Organize and maintain electronic storage media for Braille documents","The future prospects for Braille Data Entry Clerks are influenced by two opposing trends. On one hand, the demand for accessible materials in Braille format continues to grow as society becomes more inclusive and aware of the needs of visually impaired individuals. This trend suggests a continued need for skilled Braille transcribers and data entry specialists. However, advancements in technology, particularly in automated Braille translation software and artificial intelligence, may impact the traditional role of Braille Data Entry Clerks. These technological developments could potentially reduce the demand for manual transcription work.","Bachelor's Degree in Linguistics, Computer Science or English (Nice to have)","Master's Degree in Special Education, Disability Studies or Information Studies (Nice to have)","$80,000 - $160,000","$30,000 to $70,000",None,"English, Computer Science, Information Technology, Mathematics and Biology","https://www.jobbank.gc.ca/marketreport/summary-occupation/19218/geo25163
https://www.workbc.ca/career-profiles/data-entry-clerks
https://hiring.monster.com/resources/job-descriptions/administrative/data-entry-clerk/
https://www.onetonline.org/link/summary/43-9021.00
https://www.tealhq.com/education/data-entry-clerk
https://www.indeed.com/hire/job-description/data-entry-clerk
https://www.indeed.com/hire/job-description/braille-transcriber","Braille Transcription, Data Entry, Assistive Technology, Visual Impairment, Accessibility, Document Formatting, Proofreading, Adaptive Software, Inclusivity and Special Education"
Cold-composition Typographer,"A Cold-composition Typographer is a specialized professional in the printing and publishing industry who uses computerized typesetting systems to create and arrange text for various publications. This career combines technical skills with artistic sensibility, as typographers must understand both the mechanics of typesetting equipment and the principles of typography and design. Cold-composition typographers work with digital typesetting systems, inputting coded text into computer memory and retrieving it to produce high-quality typeset material. They are responsible for selecting appropriate typefaces, determining layout, and ensuring the overall visual appeal and readability of the text.","$35,000 to $65,000 per year",English Essential and French Asset,"• Input and format text using specialized typesetting software
• Select appropriate typefaces and layouts for various publications
• Proofread and perform quality control on typeset material
• Collaborate with designers and editors on publication layouts
• Prepare digital files for printing or online publication
• Maintain and troubleshoot typesetting equipment","The future prospects for Cold-composition Typographers are evolving with the digital transformation of the publishing industry. While traditional print media continues to exist, there is a growing demand for professionals who can adapt their skills to digital platforms. According to Statistics Canada, the broader category of ""Graphic designers and illustrators,"" which includes typographers, is expected to see moderate growth in the coming years. The Job Bank of Canada forecasts that for the period 2019-2028, new job openings (arising from expansion demand and replacement demand) for this occupational group are expected to total 23,100, while 23,800 new job seekers are expected to be available to fill them.","Bachelor's Degree in Design, Typography, Fine Arts, Graphic Design or Visual Communication (Nice to have)","Master's Degree in Design, Fine Arts or Visual Communication (Nice to have)","$80,000 - $160,000","$30,000 - $60,000",None,"English, Art, Graphic Design, Computer Science and Mathematics","https://noc.esdc.gc.ca/Structure/NocProfile?objectid=JigBKmfjwGBAtHUMDlZGtTBxj13Ihc79cOcDdIiC4lQ%3D
https://creativepool.com/articles/jobdescriptions/job-description-typographer
https://www.educationplannerbc.ca/find-your-path/results/career/14112","Typography, Graphic Design, Desktop Publishing, Digital Printing, Layout Design, Typesetting, Publishing, Print Production, Visual Communication, Digital Typography, UX Design and Responsive Design"
Compositor - Typesetting,"Compositors and typesetters are skilled professionals responsible for arranging and formatting text and graphics for print and digital publications. They work with various types of content, including newspaper articles, advertisements, business forms, and package labels. In modern times, most typesetting is done using computer systems and specialized software. The role of a compositor involves understanding both the technical aspects of typesetting and the aesthetic principles of design. They study manuscripts and layouts, recommending appropriate combinations of type style, size, and spacing to create visually appealing and readable content. Compositors use mark-up symbols to indicate typesetting instructions and operate photocomposing machines or computer systems to generate character images on photographic material or digital formats.","$30,000 to $70,000 per year",English Essential and French Asset,"• Study manuscripts and layouts to determine appropriate typesetting specifications
• Input and format text using specialized software and computer systems
• Translate mark-up symbols into machine-specific format codes
• Operate photocomposing machines or digital typesetting systems
• Check and correct preliminary and final proofs
• Assemble separate elements (text, headlines, ads) according to layouts
• Set up, operate, and monitor photo-output units
• Develop paper or film outputs when required
• Collaborate with designers, editors, and other team members","The future prospects for compositors and typesetters are mixed, with traditional roles declining but new opportunities emerging in digital publishing and related fields. According to the search results, the number of hand compositors and typesetters was projected to remain relatively stable, with only a 1% growth from 1990 to 2005. However, the number of typesetters and composing machine operators was expected to grow at a faster rate, with a projected 40% increase during the same period. While these projections are somewhat outdated, they reflect a trend that has continued in the industry. Traditional hand compositing has become a fading occupation, with the printing and publishing industry almost exclusively using fully automated newspaper composition machines. This shift has led to a decline in traditional typesetting roles.","Bachelor's Degree in Graphic Design, Visual Communication, Digital Media, Print Media Production or Journalism (Nice to have)","Master's Degree in Digital Media, Publishing, Graphic Communications Management or User Experience Design (Nice to have)","$80,000 - $160,000","$30,000 - $70,000",None,"English, Computer Science, Visual Arts, Graphic Design, Mathematics and Physics","https://www.jobbank.gc.ca/marketreport/summary-occupation/19249/geo25349
https://noc.esdc.gc.ca/CareerHandbook/ChProfile?objectid=Cza3YIspKYZYiq62S0jQF6Vd3dzXw2btyNpQy7ddYB0%3D
https://ucnet.universityofcalifornia.edu/job/class-g-maintenance-fabrication-and-operations/compositor/
https://www.salary.com/articles/how-to-become/how-to-become-a-hand-compositor-typesetters
http://i-train.org/lmi/orange/g086.htm","Typesetting, Desktop Publishing, Graphic Design, Digital Publishing, Page Layout, Typography, Prepress, Print Production, Adobe InDesign, QuarkXPress, HTML/CSS, Digital Media, Publishing Technology and Visual Communication"
